epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,59.4015,0.85193,2.01541,2.3305,1.16733,0.50697,0.37304,0.37622,0.30714,0.46931,0.33529,0.34876,0.26996,0.98169,2.45922,1.95324,1.21787,0.000183442,0.000183442,0.000183442
2,113.132,0.77305,1.67425,1.18299,1.08154,0.75937,0.33187,0.41485,0.33343,0.70918,0.31229,0.36228,0.28607,1.09102,2.60221,2.08592,1.21016,0.00036356,0.00036356,0.00036356
3,161.114,0.79569,1.66454,1.07785,1.07484,0.58022,0.41222,0.31889,0.22149,0.56855,0.35881,0.29343,0.19766,1.13626,2.61183,1.95846,1.27158,0.000538435,0.000538435,0.000538435
4,209.865,0.7565,1.58842,0.98427,1.05732,0.54181,0.35679,0.39045,0.29616,0.4863,0.30569,0.34231,0.25307,1.18453,2.77765,1.9555,1.37541,0.00053241,0.00053241,0.00053241
5,257.729,0.72736,1.46039,0.86589,1.0369,0.56113,0.43786,0.45309,0.3555,0.55167,0.41231,0.43108,0.33332,1.07942,2.53933,1.60648,1.20543,0.000524546,0.000524546,0.000524546
6,304.946,0.71035,1.44139,0.83105,1.02997,0.64595,0.43747,0.51021,0.37581,0.60945,0.40486,0.4412,0.33962,1.04346,2.30962,1.727,1.2538,0.000516683,0.000516683,0.000516683
7,353.233,0.66566,1.35964,0.77324,1.00885,0.65344,0.41531,0.48546,0.36785,0.61849,0.38962,0.43623,0.34558,0.97721,2.40893,1.47965,1.1517,0.000508819,0.000508819,0.000508819
8,401.319,0.64313,1.32955,0.73579,0.99381,0.63552,0.42209,0.47527,0.3602,0.61695,0.41211,0.44225,0.31425,1.08422,2.38291,1.45763,1.21221,0.000500956,0.000500956,0.000500956
9,448.109,0.63668,1.29751,0.71045,0.99276,0.69467,0.43714,0.5223,0.42434,0.72434,0.40517,0.4954,0.37921,0.96992,2.08229,1.30559,1.17219,0.000493093,0.000493093,0.000493093
10,498.372,0.60191,1.24396,0.67476,0.97736,0.7583,0.44172,0.5116,0.4077,0.73873,0.40693,0.47104,0.35297,0.99507,2.27049,1.29959,1.18547,0.000485229,0.000485229,0.000485229
11,549.108,0.59069,1.21734,0.63692,0.96899,0.7622,0.42928,0.50909,0.40243,0.7602,0.37763,0.46023,0.35403,1.00814,2.64735,1.49347,1.17966,0.000477366,0.000477366,0.000477366
12,599.441,0.58292,1.14558,0.59902,0.96172,0.56403,0.51957,0.50131,0.40087,0.4244,0.4822,0.4448,0.34929,0.99663,2.20169,1.33656,1.17653,0.000469502,0.000469502,0.000469502
13,649.289,0.57229,1.15829,0.61332,0.96171,0.50321,0.47406,0.52092,0.43405,0.44464,0.45125,0.47317,0.37409,0.95648,2.17706,1.25877,1.13447,0.000461639,0.000461639,0.000461639
14,698.534,0.56204,1.13688,0.58258,0.95641,0.74355,0.46919,0.51003,0.37434,0.65773,0.4387,0.44973,0.33211,0.96402,2.45867,1.3421,1.14546,0.000453775,0.000453775,0.000453775
15,748.405,0.54836,1.10471,0.56441,0.94962,0.71169,0.44992,0.55676,0.45524,0.67769,0.43849,0.52027,0.40936,0.9333,2.15283,1.16074,1.11218,0.000445912,0.000445912,0.000445912
16,798.116,0.54221,1.03943,0.54093,0.94383,0.81226,0.45855,0.60141,0.48679,0.73544,0.45117,0.58159,0.46669,0.8642,2.10014,1.06442,1.07552,0.000438049,0.000438049,0.000438049
17,847.135,0.53884,1.06078,0.53311,0.94388,0.63388,0.58727,0.56056,0.43887,0.56652,0.53092,0.48781,0.38253,0.99703,2.32084,1.09144,1.181,0.000430185,0.000430185,0.000430185
18,894.762,0.53436,1.06847,0.54311,0.9412,0.6171,0.48429,0.62902,0.51151,0.61504,0.4828,0.59199,0.46286,0.95168,2.07725,1.20242,1.13773,0.000422322,0.000422322,0.000422322
19,942.526,0.51832,1.03219,0.51133,0.9349,0.62811,0.51858,0.54916,0.44096,0.5976,0.4864,0.49927,0.39424,0.8442,1.99871,1.04147,1.08161,0.000414458,0.000414458,0.000414458
20,989.394,0.5205,1.02348,0.50473,0.9334,0.53289,0.60365,0.56376,0.42713,0.46811,0.53358,0.47244,0.35554,0.93283,2.25222,1.08857,1.10767,0.000406595,0.000406595,0.000406595
21,1036.75,0.51715,1.00508,0.50253,0.93005,0.75612,0.50051,0.58733,0.48647,0.69017,0.4489,0.54051,0.42532,0.91639,2.13574,1.21881,1.11422,0.000398731,0.000398731,0.000398731
22,1084.35,0.50854,1.00255,0.49848,0.93101,0.78689,0.52222,0.60176,0.49568,0.75098,0.5232,0.56895,0.44179,0.91158,2.04726,0.9653,1.11348,0.000390868,0.000390868,0.000390868
23,1131.1,0.50138,0.98543,0.47222,0.92605,0.57581,0.54323,0.59638,0.50041,0.61406,0.46485,0.55458,0.44634,0.78563,1.93467,0.90807,0.98328,0.000383005,0.000383005,0.000383005
24,1178.03,0.47747,0.91399,0.45015,0.92098,0.75735,0.50459,0.59976,0.49354,0.68725,0.49278,0.56438,0.441,0.81321,2.27478,0.90174,1.03091,0.000375141,0.000375141,0.000375141
25,1225.16,0.48591,0.94434,0.45633,0.9184,0.71804,0.51067,0.6202,0.51017,0.70799,0.52761,0.61853,0.46444,0.89144,2.23209,1.00381,1.09325,0.000367278,0.000367278,0.000367278
